collection_time_utc,source_weather,source_air,source_city_selection,units_weather,country_code,country_name,country_capital,country_population,continent,city_name,city_name_ascii,city_population,population_rank_in_country,city_timezone_geonames,geonames_feature_code,city_dem,geonameid,geonames_modification_date,geo_lat,geo_lon,weather_id,weather_main,weather_description,weather_icon,temp,feels_like,temp_min,temp_max,pressure,humidity,sea_level,grnd_level,visibility,wind_speed,wind_deg,wind_gust,clouds_all,rain_1h,rain_3h,snow_1h,snow_3h,timezone_shift_seconds,weather_time_unix,weather_time_utc,sunrise_unix,sunrise_utc,sunset_unix,sunset_utc,station_country,station_type,city_id_openweather,city_name_api,cod,wind_compass,is_daytime,temp_category,comfort_proxy,has_rain,has_snow,air_time_unix,air_time_utc,aqi,pm2_5,pm10,co,no,no2,o3,so2,nh3,aqi_label,pm25_category,weather_datetime_utc,air_datetime_utc,year,month,day,hour,day_of_week,is_weekend,season,temp_humidity_interaction,wind_pm25_interaction,pressure_temp_interaction,target_aqi_class,target_pm25,target_pm10,DATETIME,HOUR
2026-04-24T07:06:07Z,OpenWeather,OpenWeather,GeoNames cities15000 + countryInfo,metric,AE,United Arab Emirates,Abu Dhabi,9630959,AS,Dubai,Dubai,3790000,1,Asia/Dubai,PPLA,24,292223,2026-04-13,25.07725,55.30927,800,Clear,clear sky,01d,35.84,34.65,35.84,36.05,1009,24,1009,1006,10000.0,3.09,15,3.27,8,0.0,0.0,0.0,0.0,14400,1777014101,2026-04-24T07:01:41Z,1776995317,2026-04-24T01:48:37Z,1777041897,2026-04-24T14:44:57Z,AE,stations,292224,Dubai,200,NNE,1,hot,38.24,0,0,1777014367,2026-04-24T07:06:07Z,4,28.41,116.85,187.29,5.33,14.91,90.17,7.62,0.4,poor,high,2026-04-24T07:01:41Z,2026-04-24T07:06:07Z,2026,4,24,7,4,0,spring,860.1600000000001,87.7869,36162.560000000005,4,28.41,116.85,2026-04-24 07:06:07+00:00,7.0
2026-04-25T05:03:43Z,OpenWeather,OpenWeather,GeoNames cities15000 + countryInfo,metric,AE,United Arab Emirates,Abu Dhabi,9630959,AS,Dubai,Dubai,3790000,1,Asia/Dubai,PPLA,24,292223,2026-04-13,25.07725,55.30927,803,Clouds,broken clouds,04d,30.84,31.31,30.05,30.84,1011,44,1011,1008,10000.0,3.26,297,3.23,77,0.0,0.0,0.0,0.0,14400,1777093354,2026-04-25T05:02:34Z,1777081667,2026-04-25T01:47:47Z,1777128327,2026-04-25T14:45:27Z,AE,stations,292224,Dubai,200,WNW,1,hot,35.24,0,0,1777093423,2026-04-25T05:03:43Z,4,26.98,109.92,180.81,2.25,11.42,81.51,2.5,0.64,poor,high,2026-04-25T05:02:34Z,2026-04-25T05:03:43Z,2026,4,25,5,5,1,spring,1356.96,87.95479999999999,31179.24,4,26.98,109.92,2026-04-25 05:03:43+00:00,5.0
2026-04-26T23:50:34Z,OpenWeather,OpenWeather,GeoNames cities15000 + countryInfo,metric,AE,United Arab Emirates,Abu Dhabi,9630959,AS,Dubai,Dubai,3790000,1,Asia/Dubai,PPLA,24,292223,2026-04-13,25.07725,55.30927,800,Clear,clear sky,01n,29.84,31.97,27.05,29.84,1007,57,1007,1003,10000.0,4.89,258,9.93,7,0.0,0.0,0.0,0.0,14400,1777247434,2026-04-26T23:50:34Z,1777254371,2026-04-27T01:46:11Z,1777301186,2026-04-27T14:46:26Z,AE,stations,292224,Dubai,200,WSW,0,warm,35.54,0,0,1777247434,2026-04-26T23:50:34Z,3,13.85,61.92,118.27,0.0,3.78,76.98,1.03,0.44,moderate,moderate,2026-04-26T23:50:34Z,2026-04-26T23:50:34Z,2026,4,26,23,6,1,spring,1700.88,67.72649999999999,30048.88,3,13.85,61.92,2026-04-26 23:50:34+00:00,23.0
2026-04-27T23:50:25Z,OpenWeather,OpenWeather,GeoNames cities15000 + countryInfo,metric,AE,United Arab Emirates,Abu Dhabi,9630959,AS,Dubai,Dubai,3790000,1,Asia/Dubai,PPLA,24,292223,2026-04-13,25.07725,55.30927,800,Clear,clear sky,01n,29.84,31.62,26.05,29.84,1005,55,1005,1002,10000.0,1.96,274,3.91,6,0.0,0.0,0.0,0.0,14400,1777333825,2026-04-27T23:50:25Z,1777340724,2026-04-28T01:45:24Z,1777387616,2026-04-28T14:46:56Z,AE,stations,292224,Dubai,200,W,0,warm,35.34,0,0,1777333825,2026-04-27T23:50:25Z,4,30.66,109.58,126.32,0.0,2.74,78.87,0.78,0.0,poor,high,2026-04-27T23:50:25Z,2026-04-27T23:50:25Z,2026,4,27,23,0,0,spring,1641.2,60.0936,29989.2,4,30.66,109.58,2026-04-27 23:50:25+00:00,23.0
2026-04-28T23:45:57Z,OpenWeather,OpenWeather,GeoNames cities15000 + countryInfo,metric,AE,United Arab Emirates,Abu Dhabi,9630959,AS,Dubai,Dubai,3790000,1,Asia/Dubai,PPLA,24,292223,2026-04-13,25.07725,55.30927,803,Clouds,broken clouds,04n,30.84,31.47,26.05,30.84,1005,45,1005,1001,10000.0,3.34,144,3.35,51,0.0,0.0,0.0,0.0,14400,1777419956,2026-04-28T23:45:56Z,1777427078,2026-04-29T01:44:38Z,1777474047,2026-04-29T14:47:27Z,AE,stations,292224,Dubai,200,SE,0,hot,35.34,0,0,1777419957,2026-04-28T23:45:57Z,4,50.21,169.87,206.6,0.0,13.81,57.63,6.07,0.0,poor,very_high,2026-04-28T23:45:56Z,2026-04-28T23:45:57Z,2026,4,28,23,1,0,spring,1387.8,167.7014,30994.2,4,50.21,169.87,2026-04-28 23:45:57+00:00,23.0
2026-04-29T23:41:32Z,OpenWeather,OpenWeather,GeoNames cities15000 + countryInfo,metric,AE,United Arab Emirates,Abu Dhabi,9630959,AS,Dubai,Dubai,3790000,1,Asia/Dubai,PPLA,24,292223,2026-04-13,25.07725,55.30927,800,Clear,clear sky,01n,30.84,31.47,29.05,30.84,1005,45,1005,1001,10000.0,3.88,263,4.8,7,0.0,0.0,0.0,0.0,14400,1777506092,2026-04-29T23:41:32Z,1777513433,2026-04-30T01:43:53Z,1777560477,2026-04-30T14:47:57Z,AE,stations,292224,Dubai,200,W,0,hot,35.34,0,0,1777506092,2026-04-29T23:41:32Z,4,47.42,158.3,157.71,0.0,8.28,76.29,3.02,0.35,poor,high,2026-04-29T23:41:32Z,2026-04-29T23:41:32Z,2026,4,29,23,2,0,spring,1387.8,183.9896,30994.2,4,47.42,158.3,2026-04-29 23:41:32+00:00,23.0
2026-04-30T23:38:46Z,OpenWeather,OpenWeather,GeoNames cities15000 + countryInfo,metric,AE,United Arab Emirates,Abu Dhabi,9630959,AS,Dubai,Dubai,3790000,1,Asia/Dubai,PPLA,24,292223,2026-04-13,25.07725,55.30927,800,Clear,clear sky,01n,28.84,31.22,27.05,28.84,1007,63,1007,1004,10000.0,2.55,242,3.28,4,0.0,0.0,0.0,0.0,14400,1777592326,2026-04-30T23:38:46Z,1777599788,2026-05-01T01:43:08Z,1777646908,2026-05-01T14:48:28Z,AE,stations,292224,Dubai,200,WSW,0,warm,35.14,0,0,1777592326,2026-04-30T23:38:46Z,4,39.05,113.51,176.09,0.0,4.44,106.91,1.42,0.34,poor,high,2026-04-30T23:38:46Z,2026-04-30T23:38:46Z,2026,4,30,23,3,0,spring,1816.92,99.5775,29041.88,4,39.05,113.51,2026-04-30 23:38:46+00:00,23.0
2026-05-01T23:36:41Z,OpenWeather,OpenWeather,GeoNames cities15000 + countryInfo,metric,AE,United Arab Emirates,Abu Dhabi,9630959,AS,Dubai,Dubai,3790000,1,Asia/Dubai,PPLA,24,292223,2026-04-13,25.07725,55.30927,800,Clear,clear sky,01n,29.84,31.13,28.05,29.84,1007,52,1007,1003,10000.0,3.54,297,6.18,0,0.0,0.0,0.0,0.0,14400,1777678601,2026-05-01T23:36:41Z,1777686145,2026-05-02T01:42:25Z,1777733338,2026-05-02T14:48:58Z,AE,stations,292224,Dubai,200,WNW,0,warm,35.04,0,0,1777678601,2026-05-01T23:36:41Z,4,30.07,106.8,167.73,0.0,4.48,91.08,1.28,0.83,poor,high,2026-05-01T23:36:41Z,2026-05-01T23:36:41Z,2026,5,1,23,4,0,spring,1551.68,106.4478,30048.88,4,30.07,106.8,2026-05-01 23:36:41+00:00,23.0
2026-05-02T23:32:31Z,OpenWeather,OpenWeather,GeoNames cities15000 + countryInfo,metric,AE,United Arab Emirates,Abu Dhabi,9630959,AS,Dubai,Dubai,3790000,1,Asia/Dubai,PPLA,24,292223,2026-04-13,25.07725,55.30927,800,Clear,clear sky,01n,28.73,28.79,28.73,28.73,1006,45,1006,1003,10000.0,2.04,283,2.11,0,0.0,0.0,0.0,0.0,14400,1777764751,2026-05-02T23:32:31Z,1777772503,2026-05-03T01:41:43Z,1777819769,2026-05-03T14:49:29Z,AE,stations,292224,Dubai,200,WNW,0,warm,33.23,0,0,1777764751,2026-05-02T23:32:31Z,4,32.91,135.04,175.86,0.0,12.0,60.96,3.37,1.11,poor,high,2026-05-02T23:32:31Z,2026-05-02T23:32:31Z,2026,5,2,23,5,1,spring,1292.85,67.1364,28902.38,4,32.91,135.04,2026-05-02 23:32:31+00:00,23.0
2026-05-03T23:32:54Z,OpenWeather,OpenWeather,GeoNames cities15000 + countryInfo,metric,AE,United Arab Emirates,Abu Dhabi,9630959,AS,Dubai,Dubai,3790000,1,Asia/Dubai,PPLA,24,292223,2026-04-13,25.07725,55.30927,800,Clear,clear sky,01n,29.84,30.38,28.05,29.84,1005,47,1005,1002,10000.0,1.7,257,1.85,0,0.0,0.0,0.0,0.0,14400,1777851173,2026-05-03T23:32:53Z,1777858861,2026-05-04T01:41:01Z,1777906200,2026-05-04T14:50:00Z,AE,stations,292224,Dubai,200,WSW,0,warm,34.54,0,0,1777851173,2026-05-03T23:32:53Z,4,50.51,192.47,166.82,0.0,8.78,64.39,2.63,0.64,poor,very_high,2026-05-03T23:32:53Z,2026-05-03T23:32:53Z,2026,5,3,23,6,1,spring,1402.48,85.86699999999999,29989.2,4,50.51,192.47,2026-05-03 23:32:54+00:00,23.0
2026-05-04T23:28:28Z,OpenWeather,OpenWeather,GeoNames cities15000 + countryInfo,metric,AE,United Arab Emirates,Abu Dhabi,9630959,AS,Dubai,Dubai,3790000,1,Asia/Dubai,PPLA,24,292223,2026-04-13,25.07725,55.30927,800,Clear,clear sky,01n,26.84,27.69,24.05,26.84,1004,57,1004,1001,10000.0,3.53,208,3.68,0,0.0,0.0,0.0,0.0,14400,1777937308,2026-05-04T23:28:28Z,1777945221,2026-05-05T01:40:21Z,1777992632,2026-05-05T14:50:32Z,AE,stations,292224,Dubai,200,SSW,0,warm,32.54,0,0,1777937308,2026-05-04T23:28:28Z,4,55.24,183.6,147.37,0.0,3.57,110.19,2.42,0.0,poor,very_high,2026-05-04T23:28:28Z,2026-05-04T23:28:28Z,2026,5,4,23,0,0,spring,1529.88,194.9972,26947.36,4,55.24,183.6,2026-05-04 23:28:28+00:00,23.0
2026-05-05T23:30:48Z,OpenWeather,OpenWeather,GeoNames cities15000 + countryInfo,metric,AE,United Arab Emirates,Abu Dhabi,9630959,AS,Dubai,Dubai,3790000,1,Asia/Dubai,PPLA,24,292223,2026-04-13,25.07725,55.30927,800,Clear,clear sky,01n,30.84,30.44,24.05,30.84,1005,38,1005,1002,10000.0,4.47,118,5.29,0,0.0,0.0,0.0,0.0,14400,1778023848,2026-05-05T23:30:48Z,1778031582,2026-05-06T01:39:42Z,1778079063,2026-05-06T14:51:03Z,AE,stations,292224,Dubai,200,ESE,0,hot,34.64,0,0,1778023848,2026-05-05T23:30:48Z,5,94.25,238.76,405.01,0.0,8.74,88.57,4.78,0.67,very_poor,very_high,2026-05-05T23:30:48Z,2026-05-05T23:30:48Z,2026,5,5,23,1,0,spring,1171.92,421.2975,30994.2,5,94.25,238.76,2026-05-05 23:30:48+00:00,23.0
2026-05-06T23:32:23Z,OpenWeather,OpenWeather,GeoNames cities15000 + countryInfo,metric,AE,United Arab Emirates,Abu Dhabi,9630959,AS,Dubai,Dubai,3790000,1,Asia/Dubai,PPLA,24,292223,2026-04-13,25.07725,55.30927,800,Clear,clear sky,01n,31.84,33.19,29.05,31.84,1006,46,1006,1003,10000.0,2.18,19,2.29,0,0.0,0.0,0.0,0.0,14400,1778110343,2026-05-06T23:32:23Z,1778117943,2026-05-07T01:39:03Z,1778165495,2026-05-07T14:51:35Z,AE,stations,292224,Dubai,200,NNE,0,hot,36.44,0,0,1778110343,2026-05-06T23:32:23Z,5,88.81,307.14,287.84,0.0,9.53,82.46,7.98,2.09,very_poor,very_high,2026-05-06T23:32:23Z,2026-05-06T23:32:23Z,2026,5,6,23,2,0,spring,1464.64,193.6058,32031.04,5,88.81,307.14,2026-05-06 23:32:23+00:00,23.0
2026-05-07T23:29:51Z,OpenWeather,OpenWeather,GeoNames cities15000 + countryInfo,metric,AE,United Arab Emirates,Abu Dhabi,9630959,AS,Dubai,Dubai,3790000,1,Asia/Dubai,PPLA,24,292223,2026-04-13,25.07725,55.30927,800,Clear,clear sky,01n,30.84,31.63,28.05,30.84,1006,46,1006,1003,10000.0,2.06,146,2.0,0,0.0,0.0,0.0,0.0,14400,1778196591,2026-05-07T23:29:51Z,1778204306,2026-05-08T01:38:26Z,1778251926,2026-05-08T14:52:06Z,AE,stations,292224,Dubai,200,SE,0,hot,35.44,0,0,1778196591,2026-05-07T23:29:51Z,5,65.57,208.61,217.71,0.0,10.67,77.13,3.1,0.77,very_poor,very_high,2026-05-07T23:29:51Z,2026-05-07T23:29:51Z,2026,5,7,23,3,0,spring,1418.64,135.0742,31025.04,5,65.57,208.61,2026-05-07 23:29:51+00:00,23.0
2026-05-08T23:27:04Z,OpenWeather,OpenWeather,GeoNames cities15000 + countryInfo,metric,AE,United Arab Emirates,Abu Dhabi,9630959,AS,Dubai,Dubai,3790000,1,Asia/Dubai,PPLA,24,292223,2026-04-13,25.07725,55.30927,800,Clear,clear sky,01n,27.84,31.01,27.05,27.84,1006,75,1006,1002,10000.0,3.16,194,3.28,0,0.0,0.0,0.0,0.0,14400,1778282824,2026-05-08T23:27:04Z,1778290670,2026-05-09T01:37:50Z,1778338358,2026-05-09T14:52:38Z,AE,stations,292224,Dubai,200,SSW,0,warm,35.34,0,0,1778282824,2026-05-08T23:27:04Z,4,40.71,116.86,142.46,0.0,1.53,103.84,0.53,0.04,poor,high,2026-05-08T23:27:04Z,2026-05-08T23:27:04Z,2026,5,8,23,4,0,spring,2088.0,128.64360000000002,28007.04,4,40.71,116.86,2026-05-08 23:27:04+00:00,23.0
2026-05-09T23:22:01Z,OpenWeather,OpenWeather,GeoNames cities15000 + countryInfo,metric,AE,United Arab Emirates,Abu Dhabi,9630959,AS,Dubai,Dubai,3790000,1,Asia/Dubai,PPLA,24,292223,2026-04-13,25.07725,55.30927,803,Clouds,broken clouds,04n,28.84,29.82,28.05,28.84,1007,53,1007,1004,10000.0,3.75,229,5.3,63,0.0,0.0,0.0,0.0,14400,1778368666,2026-05-09T23:17:46Z,1778377034,2026-05-10T01:37:14Z,1778424790,2026-05-10T14:53:10Z,AE,stations,292224,Dubai,200,SW,0,warm,34.14,0,0,1778368921,2026-05-09T23:22:01Z,4,31.09,104.91,125.88,0.0,1.67,102.54,0.47,0.14,poor,high,2026-05-09T23:17:46Z,2026-05-09T23:22:01Z,2026,5,9,23,5,1,spring,1528.52,116.5875,29041.88,4,31.09,104.91,2026-05-09 23:22:01+00:00,23.0
2026-05-10T23:17:32Z,OpenWeather,OpenWeather,GeoNames cities15000 + countryInfo,metric,AE,United Arab Emirates,Abu Dhabi,9630959,AS,Dubai,Dubai,3790000,1,Asia/Dubai,PPLA,24,292223,2026-04-13,25.07725,55.30927,801,Clouds,few clouds,02n,25.84,25.99,25.05,25.84,1006,58,1006,1003,10000.0,4.04,208,5.65,15,0.0,0.0,0.0,0.0,14400,1778455052,2026-05-10T23:17:32Z,1778463400,2026-05-11T01:36:40Z,1778511222,2026-05-11T14:53:42Z,AE,stations,292224,Dubai,200,SSW,0,warm,31.64,0,0,1778455052,2026-05-10T23:17:32Z,4,29.09,119.54,124.62,0.0,1.62,125.94,0.86,0.35,poor,high,2026-05-10T23:17:32Z,2026-05-10T23:17:32Z,2026,5,10,23,6,1,spring,1498.72,117.5236,25995.04,4,29.09,119.54,2026-05-10 23:17:32+00:00,23.0
2026-05-11T23:15:42Z,OpenWeather,OpenWeather,GeoNames cities15000 + countryInfo,metric,AE,United Arab Emirates,Abu Dhabi,9630959,AS,Dubai,Dubai,3790000,1,Asia/Dubai,PPLA,24,292223,2026-04-13,25.07725,55.30927,801,Clouds,few clouds,02n,27.13,28.65,27.13,27.13,1005,65,1005,1002,10000.0,2.15,163,2.23,13,0.0,0.0,0.0,0.0,14400,1778541341,2026-05-11T23:15:41Z,1778549767,2026-05-12T01:36:07Z,1778597653,2026-05-12T14:54:13Z,AE,stations,292224,Dubai,200,SSE,0,warm,33.63,0,0,1778541341,2026-05-11T23:15:41Z,4,49.39,182.82,204.31,0.0,2.9,124.71,0.79,0.5,poor,high,2026-05-11T23:15:41Z,2026-05-11T23:15:41Z,2026,5,11,23,0,0,spring,1763.45,106.1885,27265.65,4,49.39,182.82,2026-05-11 23:15:42+00:00,23.0
2026-05-12T23:13:07Z,OpenWeather,OpenWeather,GeoNames cities15000 + countryInfo,metric,AE,United Arab Emirates,Abu Dhabi,9630959,AS,Dubai,Dubai,3790000,1,Asia/Dubai,PPLA,24,292223,2026-04-13,25.07725,55.30927,800,Clear,clear sky,01n,28.84,30.91,26.05,28.84,1002,61,1002,999,10000.0,2.15,237,2.24,10,0.0,0.0,0.0,0.0,14400,1778627586,2026-05-12T23:13:06Z,1778636135,2026-05-13T01:35:35Z,1778684085,2026-05-13T14:54:45Z,AE,stations,292224,Dubai,200,WSW,0,warm,34.94,0,0,1778627586,2026-05-12T23:13:06Z,5,55.35,218.07,248.03,0.0,9.66,79.06,3.01,1.67,very_poor,very_high,2026-05-12T23:13:06Z,2026-05-12T23:13:06Z,2026,5,12,23,1,0,spring,1759.24,119.0025,28897.68,5,55.35,218.07,2026-05-12 23:13:07+00:00,23.0
2026-05-13T23:16:17Z,OpenWeather,OpenWeather,GeoNames cities15000 + countryInfo,metric,AE,United Arab Emirates,Abu Dhabi,9630959,AS,Dubai,Dubai,3790000,1,Asia/Dubai,PPLA,24,292223,2026-04-13,25.07725,55.30927,800,Clear,clear sky,01n,27.84,28.27,27.05,27.84,1002,50,1002,999,10000.0,3.67,226,4.15,0,0.0,0.0,0.0,0.0,14400,1778714177,2026-05-13T23:16:17Z,1778722504,2026-05-14T01:35:04Z,1778770517,2026-05-14T14:55:17Z,AE,stations,292224,Dubai,200,SW,0,warm,32.84,0,0,1778714177,2026-05-13T23:16:17Z,4,52.79,160.14,205.33,0.0,4.62,125.15,3.57,0.42,poor,very_high,2026-05-13T23:16:17Z,2026-05-13T23:16:17Z,2026,5,13,23,2,0,spring,1392.0,193.7393,27895.68,4,52.79,160.14,2026-05-13 23:16:17+00:00,23.0
2026-05-14T23:16:47Z,OpenWeather,OpenWeather,GeoNames cities15000 + countryInfo,metric,AE,United Arab Emirates,Abu Dhabi,9630959,AS,Dubai,Dubai,3790000,1,Asia/Dubai,PPLA,24,292223,2026-04-13,25.07725,55.30927,800,Clear,clear sky,01n,30.84,31.98,29.05,30.84,1000,48,1000,997,10000.0,5.63,271,10.01,0,0.0,0.0,0.0,0.0,14400,1778800607,2026-05-14T23:16:47Z,1778808874,2026-05-15T01:34:34Z,1778856949,2026-05-15T14:55:49Z,AE,stations,292224,Dubai,200,W,0,hot,35.64,0,0,1778800607,2026-05-14T23:16:47Z,4,37.11,132.6,128.35,0.0,1.82,126.18,3.78,0.05,poor,high,2026-05-14T23:16:47Z,2026-05-14T23:16:47Z,2026,5,14,23,3,0,spring,1480.32,208.9293,30840.0,4,37.11,132.6,2026-05-14 23:16:47+00:00,23.0
